3-a	cont_a	3-b	cont_b	3-c	cont_c	3-d	cont_d	3-e	cont_e	3-f	cont_f	3-g	cont_g	3-h	cont_h	3-i	cont_i
なご	0.001821982	びノ	0.001400333	つき	0.001767222	よび	0.001829341	ゆゑ	0.001569883	りて	0.001838221	いく	0.001595048	ソね	0.001778496	ゲみ	0.001780141
ほほ	0.001821982	むも	0.001400333	ねて	0.001767222	がう	0.001750148	るゴ	0.001569883	キり	0.001758644	なほ	0.001595048	づか	0.001778496	しわ	0.001780141
キし	0.001743108	あふ	0.001322966	ノつ	0.001767222	がに	0.001750148	さら	0.00149178	にコ	0.001758644	にひ	0.001595048	こは	0.001701505	ねて	0.001780141
しば	0.001743108	せし	0.001322966	てま	0.001687258	さと	0.001750148	ゆひ	0.00149178	はづ	0.001758644	ノノ	0.001595048	たば	0.001701505	ひに	0.001780141
ぢし	0.001743108	でふ	0.001322966	かね	0.001607293	てき	0.001750148	トひ	0.001413676	コせ	0.001679067	うノ	0.001515693	けに	0.001624514	ひま	0.001780141
へを	0.001743108	るを	0.001322966	けむ	0.001607293	はし	0.001750148	ひお	0.001413676	こみ	0.001679067	くト	0.001515693	ぜに	0.001624514	ふま	0.001780141
まひ	0.001743108	いね	0.0012456	ちト	0.001607293	ふゆ	0.001750148	へる	0.001413676	づヨ	0.001679067	にな	0.001515693	なゆ	0.001624514	おち	0.001703079
コむ	0.001664235	くに	0.0012456	るよ	0.001607293	もロ	0.001750148	よを	0.001413676	トか	0.001679067	にや	0.001515693	はす	0.001624514	にす	0.001703079
たせ	0.001664235	ささ	0.0012456	をま	0.001607293	やノ	0.001750148	かを	0.001335572	ねか	0.001679067	にぬ	0.001436337	はふ	0.001547523	はわ	0.001703079
トこ	0.001664235	だら	0.0012456	あメ	0.001527328	らふ	0.001750148	づし	0.001335572	ねド	0.001679067	ノき	0.001436337	ませ	0.001547523	やす	0.001703079
ひに	0.001664235	にく	0.0012456	でか	0.001527328	ゴも	0.001670956	では	0.001335572	はむ	0.001679067	ひた	0.001436337	りき	0.001547523	をも	0.001703079
ほヒ	0.001664235	みね	0.0012456	てら	0.001527328	へる	0.001670956	ドロ	0.001335572	やく	0.001679067	るが	0.001436337	ぶき	0.001470532	ゲけ	0.001626016
まり	0.001664235	ゆノ	0.0012456	まケ	0.001527328	まぢ	0.001670956	ねか	0.001335572	やに	0.001679067	をい	0.001436337	ゆし	0.001470532	つロ	0.001626016
むか	0.001664235	ゑや	0.0012456	きや	0.001447363	まま	0.001670956	ねず	0.001335572	りか	0.001679067	おし	0.001356981	りお	0.001470532	つに	0.001548954
ヨる	0.001664235	かあ	0.001168233	てぬ	0.001447363	りま	0.001670956	れし	0.001335572	がら	0.001599491	コに	0.001356981	ふふ	0.00139354	ミを	0.001548954
らゆ	0.001664235	きづ	0.001168233	トか	0.001447363	コぬ	0.001591764	すき	0.001257469	ぎに	0.001599491	すギ	0.001356981	ほへ	0.00139354	よる	0.001548954
けら	0.001585361	なま	0.001168233	トな	0.001447363	ほつ	0.001591764	たに	0.001257469	てゾ	0.001599491	ちし	0.001356981	ゑし	0.00139354	いち	0.001471891
みふ	0.001585361	りき	0.001168233	もき	0.001447363	くを	0.001512572	づる	0.001257469	ノゴ	0.001599491	つね	0.001356981	をを	0.00139354	がし	0.001471891
りエ	0.001585361	るコ	0.001168233	らひ	0.001447363	しだ	0.001512572	とも	0.001257469	ひさ	0.001599491	ゆな	0.001356981	いで	0.001316549	さし	0.001471891
るた	0.001585361	さら	0.001090867	りや	0.001447363	でた	0.001512572	のひ	0.001257469	かて	0.001519914	あさ	0.001277626	さぶ	0.001316549	せみ	0.001471891
てて	0.001506487	づち	0.001090867	きさ	0.001367398	なく	0.001512572	ヘか	0.001257469	とに	0.001519914	コノ	0.001277626	でし	0.001316549	はた	0.001471891
ほふ	0.001506487	ねし	0.001090867	たき	0.001367398	なる	0.001512572	らぶ	0.001257469	ふち	0.001519914	たふ	0.001277626	ノに	0.001316549	ヒは	0.001471891
もせ	0.001506487	はす	0.001090867	ちこ	0.001367398	こド	0.00143338	れぬ	0.001257469	やは	0.001519914	ヒも	0.001277626	ゆに	0.001316549	ふひ	0.001471891
もゐ	0.001506487	ヒて	0.001090867	ちや	0.001367398	たば	0.00143338	がそ	0.001179365	ぎノ	0.001440337	メか	0.001277626	ゐノ	0.001316549	ます	0.001471891
るこ	0.001506487	まき	0.001090867	てり	0.001367398	ぢは	0.00143338	つゾ	0.001179365	づな	0.001440337	コゆ	0.00119827	くふ	0.001239558	もわ	0.001471891
いほ	0.001427614	まね	0.001090867	にき	0.001367398	とを	0.00143338	ひや	0.001179365	トに	0.001440337	にす	0.00119827	ゾコ	0.001239558	ある	0.001394829
エに	0.001427614	やド	0.001090867	はト	0.001367398	にに	0.00143338	ゆた	0.001179365	トを	0.001440337	へな	0.00119827	トし	0.001239558	たづ	0.001394829
おノ	0.001427614	ヨく	0.001090867	ほコ	0.001367398	ふべ	0.00143338	いさ	0.001101261	ノつ	0.001440337	まな	0.00119827	にて	0.001239558	なも	0.001394829
きへ	0.001427614	らぬ	0.001090867	かさ	0.001287434	まの	0.00143338	うる	0.001101261	へゆ	0.001440337	めし	0.00119827	ぶし	0.001239558	にヨ	0.001394829
ささ	0.001427614	をた	0.001090867	ちゆ	0.001287434	があ	0.001354187	おほ	0.001101261	やケ	0.001440337	をや	0.00119827	りほ	0.001239558	はふ	0.001394829
