sound	cont
さゴ	0.000100297
さご	2.3499E-05
ざコ	7.82198E-06
ざこ	7.82198E-06
ささ	6.97598E-05
さざ	0.000227418
ざさ	7.82198E-06
さし	0.001163575
さじ	0.000335705
ざし	7.82198E-06
さす	0.000196141
さず	0.000489823
ざす	2.3499E-05
させ	3.92229E-05
ざせ	5.44982E-05
さゾ	5.45181E-05
ざゾ	3.89349E-05
さた	2.3499E-05
さだ	0.000132292
さぢ	7.82198E-06
さつ	7.06237E-05
さづ	0.000101449
ざつ	7.82198E-06
さで	0.000149155
さト	7.82198E-06
さと	0.001280411
さド	2.36931E-05
さど	7.82198E-06
さな	3.87932E-05
ざな	7.82198E-06
さに	0.001936099
ざに	3.91056E-05
さぬ	0.00056883
ざぬ	2.33807E-05
さね	0.000714854
ざね	5.46165E-05
さノ	5.40594E-05
さの	0.000210677
ざノ	7.82198E-06
ざの	7.82198E-06
さは	0.001384357
さば	0.000275419
ざは	7.82198E-06
さひ	3.89395E-05
さビ	0.000116733
さび	7.82198E-06
さふ	0.000178968
さぶ	7.82198E-06
ざふ	2.3499E-05
さヘ	3.86469E-05
さへ	8.60942E-05
さほ	8.64481E-05
さま	7.82198E-06
ざま	7.82198E-06
さみ	7.82198E-06
ざみ	7.82198E-06
さむ	0.000100297
ざむ	7.82198E-06
さメ	0.000977506
ざメ	7.82198E-06
さも	0.000230018
さや	0.000179087
さゆ	7.82198E-06
ざゆ	7.82198E-06
さヨ	0.000116168
さよ	3.91761E-05
さら	0.000820909
ざら	0.000503508
さり	0.002507605
ざり	7.82198E-06
さる	7.82198E-06
ざる	7.82198E-06
され	7.82198E-06
ざれ	0.000180005
さわ	0.000101293
ざわ	2.36931E-05
さゐ	8.61357E-05
さゑ	3.89395E-05
さを	2.3499E-05
ざを	7.82198E-06
しあ	0.003981256
しい	0.000745811
じい	7.82198E-06
しう	0.000132292
しエ	7.05065E-05
しえ	7.82198E-06
しお	0.000101908
しか	7.82198E-06
しが	0.000101175
じか	2.36931E-05
じが	7.82198E-06
しキ	0.000433819
しき	7.82198E-06
しぎ	7.82198E-06
じき	7.82198E-06
しく	3.92229E-05
しぐ	7.82198E-06
じく	3.92229E-05
しケ	5.48765E-05
しけ	8.65529E-05
しゲ	0.006885125
しげ	7.82198E-06
じけ	7.06817E-05
しコ	0.001288864
しこ	7.82198E-06
しゴ	2.35224E-05
じコ	5.54354E-05
しさ	0.0006541
しし	2.33807E-05
しじ	0.000117561
じし	7.82198E-06
しす	7.82198E-06
しせ	3.91761E-05
しソ	2.3499E-05
しそ	7.82198E-06
しゾ	7.82198E-06
じゾ	7.82198E-06
した	0.000493811
しだ	0.000117702
しち	2.3499E-05
しぢ	8.60408E-05
しつ	0.000364329
しづ	3.92229E-05
して	0.006334464
しで	5.44982E-05
じて	5.49289E-05
しト	0.001891504
しと	3.89115E-05
しド	7.82198E-06
じト	0.001940249
しな	7.82198E-06
しに	0.001279227
じに	2.3499E-05
しぬ	0.002493514
じぬ	3.95642E-05
しね	0.000165445
しノ	0.00044909
しの	3.92519E-05
じノ	7.82198E-06
じの	7.82198E-06
しは	0.002437084
しば	3.92229E-05
じは	2.36931E-05
しヒ	0.000385934
しひ	3.93935E-05
しビ	7.05302E-05
しび	7.82198E-06
しふ	0.000290239
しぶ	3.87932E-05
しヘ	3.87932E-05
しへ	0.0020085
しべ	7.82198E-06
じヘ	7.82198E-06
しほ	7.82198E-06
しま	7.82198E-06
じま	3.91761E-05
しミ	7.82198E-06
しみ	0.001044221
じみ	7.82198E-06
しむ	5.50472E-05
しメ	0.001862738
しめ	2.32345E-05
じメ	7.82198E-06
じめ	7.82198E-06
しも	0.000365986
じも	7.82198E-06
しや	3.91761E-05
じや	7.82198E-06
しゆ	7.03124E-05
しヨ	7.82198E-06
しよ	0.000337297
しら	0.000117437
しり	0.001235503
じり	8.63242E-05
しる	0.004755017
じる	7.82198E-06
しれ	0.000148651
じれ	2.35224E-05
しロ	7.82198E-06
しろ	7.82198E-06
じロ	5.5123E-05
じろ	7.82198E-06
しわ	0.001243174
しゐ	5.40594E-05
しゑ	0.000585701
しを	7.82198E-06
じを	5.46353E-05
すあ	7.82198E-06
ずあ	0.000739083
すい	2.32345E-05
ずい	8.62069E-05
すう	7.82198E-06
すお	7.82198E-06
ずお	7.82198E-06
すか	7.82198E-06
すが	6.97644E-05
ずか	0.000223597
ずが	7.82198E-06
すき	0.000474585
すギ	5.49233E-05
すぎ	7.82198E-06
ずき	0.000102025
すく	0.000164826
すぐ	0.000116744
ずく	7.82198E-06
すケ	3.93935E-05
すけ	7.82198E-06
すゲ	5.45181E-05
ずけ	0.000808615
すコ	3.93702E-05
すこ	0.000101161
すご	7.82198E-06
ずコ	7.82198E-06
ずこ	7.82198E-06
すさ	2.36931E-05
すし	0.000210796
ずし	0.001802367
すす	0.000195682
すず	2.36931E-05
すソ	3.90578E-05
すそ	0.00011892
すゾ	7.82198E-06
ずゾ	7.82198E-06
すた	7.82198E-06
すだ	2.3499E-05
ずた	7.82198E-06
すつ	5.40594E-05
ずつ	2.33807E-05
すて	7.82198E-06
すで	5.46165E-05
ずて	0.000937105
すト	0.001883511
すド	7.82198E-06
ずト	0.002164521
すな	0.000180111
ずな	0.000117608
すに	0.000196569
ずに	0.000117561
ずぬ	7.82198E-06
ずね	2.35224E-05
すノ	2.33807E-05
すの	5.49289E-05
ずノ	0.000317388
すは	2.3499E-05
すば	5.40594E-05
ずは	3.92519E-05
すヒ	2.35224E-05
すひ	7.82198E-06
すび	0.00186813
ずひ	0.000100297
すぶ	7.13065E-05
ずふ	7.82198E-06
すベ	0.000182404
すべ	2.35224E-05
ずヘ	7.82198E-06
ずほ	7.82198E-06
すま	0.000600238
ずま	2.35224E-05
すみ	7.02656E-05
ずみ	7.82198E-06
すむ	3.86469E-05
すメ	7.82198E-06
すめ	7.06237E-05
すも	2.35224E-05
ずも	7.82198E-06
すや	0.000163665
ずや	0.0004902
すゆ	3.95642E-05
ずゆ	3.93702E-05
